tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_ucode
Srg,WGO_JG,106,D,16/09/2021,WS00417
Srg,WGO_JG,201,C,16/09/2021,WS00418
Srg,WGO_JG,201,P,16/09/2021,WS00419
Srg,WGO_JG,201,D,16/09/2021,WS00420
Srg,WGO_JG,202,P,16/09/2021,WS00421
Srg,WGO_JG,202,D,16/09/2021,WS00422
Srg,WGO_JG,202,C,16/09/2021,WS00423
Srg,WGO_JG,203,D,16/09/2021,WS00424
Srg,WGO_JG,203,P,16/09/2021,WS00425
Srg,WGO_JG,203,C,16/09/2021,WS00426
Srg,WGO_JG,204,P,16/09/2021,WS00427
Srg,WGO_JG,204,D,16/09/2021,WS00428
Srg,WGO_JG,204,C,16/09/2021,WS00429
Srg,WGO_JG,205,P,16/09/2021,WS00430
Srg,WGO_JG,205,C,16/09/2021,WS00431
Srg,WGO_JG,205,D,16/09/2021,WS00432
Srg,WGO_JG,206,C,16/09/2021,WS00433
Srg,WGO_JG,206,P,16/09/2021,WS00434
Srg,WGO_JG,206,D,16/09/2021,WS00435
Srg,WGO_JG,301,D,16/09/2021,WS00436
Srg,WGO_JG,301,C,16/09/2021,WS00437
Srg,WGO_JG,301,P,16/09/2021,WS00438
Srg,WGO_JG,302,C,16/09/2021,WS00439
Srg,WGO_JG,302,P,16/09/2021,WS00440
Srg,WGO_JG,302,D,16/09/2021,WS00441
Srg,WGO_JG,303,P,16/09/2021,WS00442
Srg,WGO_JG,303,D,16/09/2021,WS00443
Srg,WGO_JG,303,C,16/09/2021,WS00444
Srg,WGO_JG,304,C,16/09/2021,WS00445
Srg,WGO_JG,304,P,16/09/2021,WS00446
Srg,WGO_JG,304,D,16/09/2021,WS00447
Srg,WGO_JG,305,P,16/09/2021,WS00448
Srg,WGO_JG,305,C,16/09/2021,WS00449
Srg,WGO_JG,305,D,16/09/2021,WS00450
Srg,WGO_JG,306,C,16/09/2021,WS00451
Srg,WGO_JG,306,P,16/09/2021,WS00452
Srg,WGO_JG,306,D,16/09/2021,WS00453
Srg,WGO_JG,401,C,16/09/2021,WS00454
